time_start,zone,psr_type,generation_mw,resolution_minutes
2024-01-01T00:00:00+00:00,DK1,solar,0.0,60
2024-01-01T01:00:00+00:00,DK1,solar,0.0,60
2024-01-01T02:00:00+00:00,DK1,solar,0.0,60
2024-01-01T03:00:00+00:00,DK1,solar,0.0,60
2024-01-01T04:00:00+00:00,DK1,solar,0.0,60
2024-01-01T05:00:00+00:00,DK1,solar,0.0,60
2024-01-01T06:00:00+00:00,DK1,solar,0.0,60
2024-01-01T07:00:00+00:00,DK1,solar,0.0,60
2024-01-01T08:00:00+00:00,DK1,solar,6.17,60
2024-01-01T09:00:00+00:00,DK1,solar,26.03,60
2024-01-01T10:00:00+00:00,DK1,solar,40.61,60
2024-01-01T11:00:00+00:00,DK1,solar,58.19,60
2024-01-01T12:00:00+00:00,DK1,solar,56.02,60
2024-01-01T13:00:00+00:00,DK1,solar,29.0,60
2024-01-01T14:00:00+00:00,DK1,solar,5.7,60
2024-01-01T15:00:00+00:00,DK1,solar,0.0,60
2024-01-01T16:00:00+00:00,DK1,solar,0.0,60
2024-01-01T17:00:00+00:00,DK1,solar,0.0,60
2024-01-01T18:00:00+00:00,DK1,solar,0.0,60
2024-01-01T19:00:00+00:00,DK1,solar,0.0,60
2024-01-01T20:00:00+00:00,DK1,solar,0.0,60
2024-01-01T21:00:00+00:00,DK1,solar,0.0,60
2024-01-01T22:00:00+00:00,DK1,solar,0.0,60
2024-01-01T23:00:00+00:00,DK1,solar,0.0,60
2024-01-02T00:00:00+00:00,DK1,solar,0.0,60
2024-01-02T01:00:00+00:00,DK1,solar,0.0,60
2024-01-02T02:00:00+00:00,DK1,solar,0.0,60
2024-01-02T03:00:00+00:00,DK1,solar,0.0,60
2024-01-02T04:00:00+00:00,DK1,solar,0.0,60
2024-01-02T05:00:00+00:00,DK1,solar,0.0,60
2024-01-02T06:00:00+00:00,DK1,solar,0.0,60
2024-01-02T07:00:00+00:00,DK1,solar,0.0,60
2024-01-02T08:00:00+00:00,DK1,solar,9.74,60
2024-01-02T09:00:00+00:00,DK1,solar,41.22,60
2024-01-02T10:00:00+00:00,DK1,solar,64.54,60
2024-01-02T11:00:00+00:00,DK1,solar,71.55,60
2024-01-02T12:00:00+00:00,DK1,solar,52.18,60
2024-01-02T13:00:00+00:00,DK1,solar,27.12,60
2024-01-02T14:00:00+00:00,DK1,solar,5.24,60
2024-01-02T15:00:00+00:00,DK1,solar,0.0,60
2024-01-02T16:00:00+00:00,DK1,solar,0.0,60
2024-01-02T17:00:00+00:00,DK1,solar,0.0,60
2024-01-02T18:00:00+00:00,DK1,solar,0.0,60
2024-01-02T19:00:00+00:00,DK1,solar,0.0,60
2024-01-02T20:00:00+00:00,DK1,solar,0.0,60
2024-01-02T21:00:00+00:00,DK1,solar,0.0,60
2024-01-02T22:00:00+00:00,DK1,solar,0.0,60
2024-01-02T23:00:00+00:00,DK1,solar,0.0,60
2024-01-03T00:00:00+00:00,DK1,solar,0.0,60
2024-01-03T01:00:00+00:00,DK1,solar,0.0,60
